week,Date,gmv,listing_price,product_mrp,discount,sla,product_procurement_sla,online_order_perc,Total_Investment,TV,Digital,Sponsorship,Content_marketing,Online_marketing,Affiliates,SEM,Radio,Other,NPS,Stock_Index,Special_sales,Payday
27,2022-07-04 00:00:00,154575.615,1315.058,1524.415,0.137,5.773,2.262,73.562,60409.576,12725.960,18441.405,0.000,4646.944,9300.404,3746.813,11548.050,0.000,0.000,58.600,1576.416,0,1
28,2022-07-11 00:00:00,160314.304,1360.273,1608.274,0.154,4.570,1.815,75.490,60987.350,11968.075,16418.936,0.000,3686.617,10611.948,5682.690,11806.744,812.340,0.000,61.700,1558.271,0,0
29,2022-07-18 00:00:00,177417.989,1307.835,1547.490,0.155,4.707,1.857,64.375,64660.184,11602.287,12218.195,10557.794,2038.396,9687.597,7450.932,11104.983,0.000,0.000,64.800,1619.482,0,1
30,2022-07-25 00:00:00,149532.118,1220.711,1456.164,0.162,5.426,1.718,65.724,58806.010,10396.466,18520.699,0.000,2023.195,13546.919,4021.818,10296.912,0.000,0.000,64.900,1676.322,0,0
31,2022-08-01 00:00:00,159728.536,1308.823,1550.012,0.156,4.934,1.849,71.863,66344.238,8982.969,19718.737,0.000,5240.708,13692.108,7417.606,11292.111,0.000,0.000,65.000,1706.153,0,1
32,2022-08-08 00:00:00,172736.508,1318.842,1511.474,0.127,4.699,1.700,79.550,58593.719,8085.435,12582.758,8212.076,5924.086,8655.414,3783.307,11350.642,0.000,0.000,58.100,1684.760,0,0
33,2022-08-15 00:00:00,181060.636,1373.770,1580.801,0.131,5.300,2.108,71.264,61013.780,8299.172,18213.611,0.000,2662.625,13453.810,8134.747,10249.814,0.000,0.000,66.200,1753.966,0,1
34,2022-08-22 00:00:00,159037.135,1319.106,1508.016,0.125,5.595,2.250,77.761,66046.698,8117.429,13223.609,11034.145,5257.815,11415.937,7620.720,9377.043,0.000,0.000,57.300,1754.293,0,0
35,2022-08-29 00:00:00,175845.794,1378.006,1644.925,0.162,5.138,2.027,64.891,58780.066,8368.935,23021.768,0.000,2253.199,8425.107,7479.604,9231.453,0.000,0.000,66.400,1813.971,0,1
36,2022-09-05 00:00:00,178456.106,1311.104,1479.928,0.114,5.611,1.885,75.083,57349.591,8124.289,11785.287,0.000,2272.981,15202.289,8063.887,11900.858,0.000,0.000,69.500,1773.536,0,0
37,2022-09-12 00:00:00,181876.259,1272.507,1490.978,0.147,5.691,2.588,83.400,71307.856,8104.052,18314.034,11664.932,4874.569,13487.289,5773.069,9089.910,0.000,0.000,63.600,1817.667,0,0
38,2022-09-19 00:00:00,172931.141,1269.002,1463.220,0.133,4.705,1.788,77.905,63234.452,8245.161,18495.748,0.000,5965.394,11642.735,6322.897,11532.712,1029.805,0.000,65.700,1828.267,0,0
39,2022-09-26 00:00:00,161255.617,1294.069,1518.485,0.148,6.728,2.711,75.019,61599.541,8532.861,17544.944,0.000,3318.976,13736.156,5889.332,11145.873,1431.400,0.000,72.800,1891.353,0,1
40,2022-10-03 00:00:00,174895.022,1313.131,1576.038,0.167,5.104,2.429,69.147,56830.755,8721.325,12407.789,0.000,5338.753,12723.091,3820.001,13819.796,0.000,0.000,64.900,1896.696,0,0
41,2022-10-10 00:00:00,170971.264,1298.122,1556.551,0.166,5.095,1.457,82.059,65311.258,8938.856,13526.520,11012.622,2439.292,14850.441,4144.625,10398.901,0.000,0.000,68.000,1927.500,0,0
42,2022-10-17 00:00:00,200371.058,1275.973,1540.259,0.172,4.957,2.217,75.107,64361.516,9178.451,17846.820,0.000,2463.707,10881.861,7421.427,15190.529,1378.721,0.000,66.100,1925.880,0,1
43,2022-10-24 00:00:00,176273.024,1290.092,1498.058,0.139,6.237,1.918,65.407,59753.102,9546.288,11620.138,0.000,4673.870,13361.040,6766.878,13784.889,0.000,0.000,66.200,2001.513,0,0
44,2022-10-31 00:00:00,184497.152,1288.389,1464.203,0.120,5.684,2.007,69.151,64821.556,10113.591,17936.944,11197.542,2962.773,11010.316,4695.085,6905.305,0.000,0.000,66.300,2029.074,0,1
45,2022-11-07 00:00:00,201181.724,1336.793,1594.575,0.162,4.808,1.728,73.872,56938.526,10480.997,17352.322,0.000,2139.913,10221.279,4086.068,12657.947,0.000,0.000,58.400,2019.234,0,0
46,2022-11-14 00:00:00,296561.063,1073.953,1467.893,0.268,4.835,1.688,65.736,73723.848,11129.286,15711.519,11604.617,5267.924,11559.590,7226.645,11224.268,0.000,0.000,63.500,2051.800,1,1
47,2022-11-21 00:00:00,316843.151,1102.881,1475.464,0.253,5.626,2.622,74.302,70237.310,11754.009,15491.640,0.000,3934.580,18709.425,7287.822,13059.833,0.000,0.000,66.600,2095.666,1,0
48,2022-11-28 00:00:00,278482.832,1177.261,1519.757,0.225,5.380,2.201,68.636,70258.307,12590.078,15489.183,0.000,4159.812,17795.775,5419.725,13332.334,1471.400,0.000,68.700,2109.684,1,1
49,2022-12-05 00:00:00,201265.988,1311.598,1594.429,0.177,4.754,1.618,79.289,61426.045,13098.833,17288.498,0.000,2389.079,14926.926,4782.022,8940.687,0.000,0.000,64.800,2100.495,0,0
50,2022-12-12 00:00:00,201766.003,1313.476,1648.681,0.203,5.126,2.033,62.115,66864.937,13540.488,11757.527,11156.138,3902.127,13378.921,4174.053,8955.684,0.000,0.000,65.900,2158.343,0,0
51,2022-12-19 00:00:00,259739.201,1227.566,1565.779,0.216,4.959,2.307,75.819,63232.505,13885.449,16595.299,0.000,3631.638,11753.237,5332.080,12034.802,0.000,0.000,63.000,2168.675,1,1
52,2022-12-26 00:00:00,268633.296,1172.232,1500.593,0.219,4.327,2.442,74.418,68704.458,14134.622,18638.902,0.000,5168.049,12547.133,5306.779,12908.972,0.000,0.000,68.100,2148.062,1,0
53,2023-01-02 00:00:00,148126.178,1277.536,1471.943,0.132,4.901,1.764,81.358,63391.943,11690.441,18032.024,0.000,5308.375,10953.034,4933.815,11815.001,0.000,659.252,57.200,1210.460,0,1
54,2023-01-09 00:00:00,154228.938,1296.510,1486.710,0.128,5.128,2.219,75.590,59149.038,11379.826,13384.288,0.000,5451.078,13195.938,4610.623,10829.391,0.000,297.894,60.300,1225.902,0,0
55,2023-01-16 00:00:00,158644.697,1312.943,1526.450,0.140,5.549,1.840,66.471,56868.539,10336.783,13994.197,0.000,3868.983,13363.174,4807.223,10498.179,0.000,0.000,60.400,1274.032,0,1
56,2023-01-23 00:00:00,153222.128,1314.968,1489.006,0.117,4.663,2.059,67.835,57371.430,9716.191,18761.285,0.000,3371.519,10500.328,6233.337,8788.771,0.000,0.000,66.500,1256.624,0,0
57,2023-01-30 00:00:00,144608.430,1249.177,1434.632,0.129,5.708,2.727,75.617,60006.600,9095.719,11117.069,7525.203,4527.433,13116.012,7018.194,7606.970,0.000,0.000,66.600,1276.121,0,1
58,2023-02-06 00:00:00,157730.309,1273.206,1466.826,0.132,5.160,1.913,73.154,61530.434,8759.028,16799.713,0.000,2784.012,16482.369,7395.649,9309.664,0.000,0.000,66.700,1314.244,0,0
59,2023-02-13 00:00:00,170843.694,1325.932,1557.848,0.149,5.286,2.418,75.999,64263.164,9048.210,15798.947,0.000,2653.324,11840.345,8344.529,16577.808,0.000,0.000,62.800,1355.371,0,1
60,2023-02-20 00:00:00,157399.294,1298.777,1535.657,0.154,4.669,2.108,70.421,66021.852,9131.839,14367.239,8400.259,3155.232,11894.802,7015.976,12056.504,0.000,0.000,61.900,1360.388,0,0
61,2023-02-27 00:00:00,148939.552,1325.821,1564.164,0.152,5.283,1.783,76.371,57810.905,9713.771,18453.521,0.000,4643.298,11952.838,4410.685,8636.792,0.000,0.000,63.000,1407.893,0,1
62,2023-03-06 00:00:00,162515.043,1317.034,1514.342,0.130,4.690,1.684,74.160,64531.394,9896.421,15026.643,0.000,3046.248,15520.591,7335.169,13706.321,0.000,0.000,68.100,1422.950,0,0
63,2023-03-13 00:00:00,176526.522,1358.424,1609.498,0.156,4.456,2.055,78.556,68205.465,10220.591,15256.195,0.000,5586.332,16316.894,5493.079,15332.374,0.000,0.000,66.200,1440.183,0,1
64,2023-03-20 00:00:00,166488.801,1331.035,1593.075,0.165,5.358,1.710,68.548,62147.467,10328.840,12724.460,10100.129,5125.072,11410.734,4205.336,8252.896,0.000,0.000,64.300,1485.353,0,0
65,2023-03-27 00:00:00,155070.136,1325.135,1604.873,0.174,5.290,2.383,75.087,59593.711,10487.899,17228.433,0.000,3215.368,13352.170,4140.932,10492.127,676.782,0.000,64.400,1500.063,0,1
66,2023-04-03 00:00:00,158451.520,1301.878,1549.001,0.160,5.071,2.138,77.352,59002.956,10615.636,14090.041,0.000,2972.416,12581.107,6862.201,11881.555,0.000,0.000,64.500,1532.043,0,0
67,2023-04-10 00:00:00,169256.063,1309.731,1565.301,0.163,5.540,2.575,76.075,67004.563,10977.704,15059.234,0.000,3031.020,16587.877,8386.049,12962.679,0.000,0.000,59.600,1551.105,0,0
68,2023-04-17 00:00:00,168853.625,1321.902,1539.535,0.141,4.601,1.668,70.901,65666.316,11196.343,11969.842,10127.821,2688.336,14184.442,3808.007,11691.524,0.000,0.000,62.700,1541.479,0,1
69,2023-04-24 00:00:00,161892.840,1364.141,1626.437,0.161,4.829,1.975,71.894,61763.834,11453.368,17236.183,0.000,4725.784,14351.347,3947.476,10049.676,0.000,0.000,68.800,1586.270,0,0
70,2023-05-01 00:00:00,183040.712,1305.656,1519.130,0.141,5.677,2.087,69.253,60734.674,11706.517,13809.876,0.000,5784.288,10310.703,6490.186,12633.099,0.000,0.000,68.900,1632.213,0,1
71,2023-05-08 00:00:00,165951.118,1317.221,1532.277,0.140,5.397,1.989,77.171,66475.078,11829.351,13441.089,9298.514,3982.857,11171.926,5380.469,11370.873,0.000,0.000,69.000,1633.492,0,0
72,2023-05-15 00:00:00,176393.450,1263.552,1441.831,0.124,4.658,1.896,77.842,64902.885,12161.057,17773.507,0.000,2716.823,15042.619,5123.614,12085.264,0.000,0.000,67.100,1664.192,0,1
73,2023-05-22 00:00:00,175500.114,1309.811,1569.676,0.166,5.598,2.262,71.792,57795.830,12363.599,15836.994,0.000,4084.746,10129.336,4660.413,10720.742,0.000,0.000,67.200,1674.041,0,0
74,2023-05-29 00:00:00,174094.048,1345.835,1602.200,0.160,4.867,1.738,70.440,64082.218,12566.984,11759.033,11182.668,4150.333,11069.605,3339.048,10014.548,0.000,0.000,70.300,1693.224,0,1
75,2023-06-05 00:00:00,179658.869,1294.792,1513.096,0.144,5.029,2.089,70.547,61486.919,12763.536,16633.730,0.000,2866.011,13114.754,5358.065,10750.824,0.000,0.000,70.400,1700.971,0,0
76,2023-06-12 00:00:00,183372.268,1308.352,1508.508,0.133,5.077,2.173,68.535,64033.150,12961.678,14927.775,0.000,4784.563,14104.645,3700.710,13553.779,0.000,0.000,69.500,1746.968,0,0
77,2023-06-19 00:00:00,184627.509,1283.776,1508.252,0.149,4.955,2.215,72.835,68473.553,13155.750,13549.021,11680.979,5211.794,10108.408,3415.236,11352.366,0.000,0.000,67.600,1772.860,0,1
78,2023-06-26 00:00:00,178328.606,1284.510,1467.131,0.124,4.963,1.705,75.978,59552.029,13231.304,15650.102,0.000,3622.622,12688.286,3591.262,10768.454,0.000,0.000,67.700,1774.814,0,0
79,2023-07-03 00:00:00,176834.642,1283.994,1453.467,0.117,5.103,1.983,81.678,63188.466,12673.813,16613.487,0.000,4643.675,12131.415,5826.238,11299.839,0.000,0.000,71.800,1788.391,0,1
80,2023-07-10 00:00:00,179380.749,1323.102,1517.996,0.128,4.837,2.223,77.014,63731.573,11968.569,15783.170,0.000,2884.160,14346.945,5892.688,11979.907,876.134,0.000,71.900,1795.039,0,0
81,2023-07-17 00:00:00,193048.508,1311.696,1568.675,0.164,5.360,2.178,71.438,63756.339,11549.166,12657.655,10580.614,4208.123,10068.170,5184.468,9508.144,0.000,0.000,72.000,1828.836,0,1
82,2023-07-24 00:00:00,176131.455,1277.828,1478.594,0.136,5.060,1.955,75.120,60256.617,10357.098,17840.146,0.000,5615.818,13045.632,4759.557,8638.366,0.000,0.000,72.100,1858.698,0,0
83,2023-07-31 00:00:00,172077.191,1314.014,1556.601,0.156,5.295,1.736,73.930,64657.969,8971.077,19592.833,0.000,3647.444,13484.610,6602.294,11277.844,1081.868,0.000,72.200,1869.482,0,1
84,2023-08-07 00:00:00,188271.771,1306.577,1507.309,0.133,5.059,2.094,75.747,57814.637,8061.288,11549.664,7527.248,3028.505,9701.526,3792.018,14154.388,0.000,0.000,68.300,1877.643,0,0
85,2023-08-14 00:00:00,190485.877,1307.699,1491.901,0.123,5.049,1.884,76.609,63114.186,8294.080,17816.554,0.000,2253.725,14672.472,8077.709,11999.646,0.000,0.000,69.400,1922.370,0,1
86,2023-08-21 00:00:00,181873.756,1279.943,1457.959,0.122,5.184,2.179,72.553,65595.940,8121.183,13011.488,11408.616,4613.878,11907.439,7299.558,9233.779,0.000,0.000,67.500,1911.981,0,0
87,2023-08-28 00:00:00,187808.032,1344.231,1557.300,0.137,5.261,1.999,69.864,58735.779,8411.231,21709.039,0.000,2950.277,10025.880,7306.673,8332.680,0.000,0.000,68.600,1975.767,0,1
88,2023-09-04 00:00:00,189770.733,1339.212,1534.644,0.127,5.359,1.865,73.649,58807.187,8133.292,11662.733,0.000,3280.505,14116.294,8285.206,12489.731,839.426,0.000,67.700,1975.134,0,0
89,2023-09-11 00:00:00,188267.975,1281.721,1482.053,0.135,5.257,2.217,77.517,72213.482,8162.406,18924.540,10496.489,2362.229,15373.539,6119.742,10774.536,0.000,0.000,70.800,2008.205,0,0
90,2023-09-18 00:00:00,186937.795,1298.671,1501.443,0.135,5.307,1.909,72.038,61635.649,8276.651,18022.481,0.000,4172.077,12690.150,4678.467,12619.688,1176.134,0.000,70.900,2018.097,0,1
91,2023-09-25 00:00:00,177692.952,1299.619,1516.996,0.143,5.939,2.426,74.227,61612.547,8576.505,16213.291,0.000,5290.075,13664.273,5709.434,11234.442,924.527,0.000,71.000,2046.273,0,1
92,2023-10-02 00:00:00,187089.971,1318.768,1572.274,0.161,5.361,2.227,73.521,58390.567,8746.049,12209.994,0.000,5424.138,12543.919,4421.593,15044.873,0.000,0.000,71.100,2048.092,0,0
93,2023-10-09 00:00:00,187480.838,1281.728,1519.448,0.156,5.177,1.786,78.284,65643.473,8917.125,14040.923,10556.230,4291.469,13575.176,4063.329,10199.222,0.000,0.000,72.200,2077.865,0,0
94,2023-10-16 00:00:00,208599.364,1285.164,1550.126,0.171,5.037,1.983,73.214,64887.848,9203.891,18021.605,0.000,4734.412,10020.614,6761.596,14629.272,1516.458,0.000,72.300,2076.585,0,1
95,2023-10-23 00:00:00,190490.032,1291.404,1517.412,0.149,5.804,2.186,70.390,60240.727,9564.713,11697.878,0.000,2035.699,14968.112,7035.009,14939.315,0.000,0.000,72.400,2109.431,0,0
96,2023-10-30 00:00:00,196479.740,1302.036,1486.708,0.124,5.644,1.963,71.847,66769.176,10111.542,17852.052,10918.164,3526.905,12250.107,4954.863,7155.542,0.000,0.000,72.500,2135.351,0,1
97,2023-11-06 00:00:00,210846.060,1320.811,1576.219,0.162,5.065,1.975,71.663,58737.998,10543.077,17979.739,0.000,2439.726,10148.298,4200.844,13426.314,0.000,0.000,71.600,2127.206,0,0
98,2023-11-13 00:00:00,274873.710,1183.157,1520.501,0.222,5.146,1.871,69.920,71304.271,11137.020,15465.853,10899.692,2804.973,11111.536,7341.349,12543.847,0.000,0.000,70.700,2159.306,0,1
99,2023-11-20 00:00:00,281557.503,1195.091,1530.914,0.220,5.381,2.359,72.419,70888.677,11775.914,15448.685,0.000,5508.022,17565.821,7334.864,13255.369,0.000,0.000,71.800,2176.954,0,0
100,2023-11-27 00:00:00,276280.160,1208.894,1548.145,0.219,5.191,2.089,70.668,70057.118,12595.136,15952.725,0.000,3025.380,16920.889,5531.962,14672.626,1358.400,0.000,71.900,2191.667,0,1
101,2023-12-04 00:00:00,214082.274,1312.909,1601.593,0.180,4.987,1.894,75.027,61251.033,13141.682,16291.322,0.000,4827.067,14551.223,4344.447,8095.292,0.000,0.000,72.000,2185.871,0,0
102,2023-12-11 00:00:00,216510.060,1298.171,1606.445,0.192,5.011,1.993,66.100,67155.992,13542.926,12507.638,10884.703,3643.972,12851.131,4442.035,9283.588,0.000,0.000,72.100,2212.504,0,0
103,2023-12-18 00:00:00,240178.455,1263.401,1597.421,0.209,4.911,2.167,73.892,64117.278,13906.126,16771.090,0.000,2067.125,12510.366,5650.491,13212.081,0.000,0.000,72.200,2224.365,0,1
104,2023-12-25 00:00:00,241028.826,1245.573,1565.311,0.204,4.611,2.232,74.035,67195.498,14136.561,18458.930,0.000,2431.668,13166.881,5745.491,13255.968,0.000,0.000,72.300,2205.780,0,0
